"","vVirusNameCorrected","hHostNameFinal","WildDomInReference","DetectionMethod","DetectionQuality","Reference"
"1406","Cercopithecine_herpesvirus_1","Macaca_arctoides","wild","Isolation",2,"Huff and Barry 2003"
"1407","Simian_foamy_virus","Macaca_arctoides","wild","PCR",2,"Hussain et al. 2003"
"1408","Cercopithecine_herpesvirus_1","Macaca_cyclopis","wild","Isolation",2,"Huff and Barry 2003"
"1409","Simian_foamy_virus","Macaca_cyclopis","wild","PCR",2,"Schweizer et al. 1995"
"1410","Bakau_virus","Macaca_fascicularis","wild","Isolation",2,"CDC ArboCat"
"1411","Canine_distemper_virus","Macaca_fascicularis","captive","Isolation",2,"Sakai et al. 2013"
"1412","Cercopithecine_herpesvirus_1","Macaca_fascicularis","wild","Isolation",2,"Huff and Barry 2003"
"1413","Chikungunya_virus","Macaca_fascicularis","wild","Antibodies",0,"Inoue et al. 2003"
"1414","Dengue_virus","Macaca_fascicularis","wild","Antibodies",0,"Inoue et al. 2003"
"1415","Eastern_equine_encephalitis_virus","Macaca_fascicularis","wild","Antibodies",0,"Fowler & Miller 2003"
"1416","Hepatitis_A_virus","Macaca_fascicularis","wild","Antibodies",0,"Sa-Nguanmoo et al. 2010"
"1417","Japanese_encephalitis_virus","Macaca_fascicularis","wild","Antibodies",0,"Inoue et al. 2003"
"1418","Lassa_virus","Macaca_fascicularis","domestic","Isolation",2,"Wulff et al. 1975"
"1419","Macaque_simian_foamy_virus","Macaca_fascicularis","wild","Antibodies",0,"Brooks et al."
"1420","Parainfluenza_virus_5","Macaca_fascicularis","wild","Isolation",2,"Chatziandreou et al. 2004"
"1421","Reston_ebolavirus","Macaca_fascicularis","wild","Isolation",2,"Miranda et al. 1991"
"1422","Rhesus_monkey_papillomavirus_1","Macaca_fascicularis","captive","Isolation",2,"Chan et al. 1997"
"1423","Simian_enterovirus_A","Macaca_fascicularis","captive","Isolation",2,"Hoffert et al. 1958"
"1424","Simian_foamy_virus","Macaca_fascicularis","wild","PCR",2,"Webb et al. 1965"
"1425","Simian_parvovirus","Macaca_fascicularis","captive","Isolation",2,"O'Sullivan et al. 1994"
"1426","Yaba_monkey_tumor_virus","Macaca_fascicularis","wild","Antibodies",0,"Downie 1974"
"1427","Borna_disease_virus","Macaca_fuscata","wild","PCR",2,"Hagiwara et al. 2008"
"1428","Cercopithecine_herpesvirus_1","Macaca_fuscata","wild","Isolation",2,"Huff and Barry 2003"
"1429","Hepatitis_E_virus","Macaca_fuscata","wild","Antibodies",0,"Taylor et al. 2001"
"1430","Measles_virus","Macaca_fuscata","wild","Antigen",0,"Choi et al. 1999"
"1431","Simian_foamy_virus","Macaca_fuscata","wild","PCR",2,"Hussain et al. 2003"
"1432","Torque_Teno_virus","Macaca_fuscata","wild","PCR",2,"Okamoto et al. 2000"
"1433","Primate_T-lymphotropic_virus_1","Macaca_maura","wild","Isolation",2,"Saksena et al. 1994"
"1434","Adeno-associated_virus-1","Macaca_mulatta","captive","Antibodies",0,"Xiao et al. 1999"
"1435","Adeno-associated_virus-2","Macaca_mulatta","captive","Antibodies",0,"Xiao et al. 1999"
"1436","Cercopithecine_herpesvirus_1","Macaca_mulatta","wild","Isolation",2,"Huff and Barry 2003"
"1437","Cercopithecine_herpesvirus_15","Macaca_mulatta","captive","isolation",2,"Habis et al. 2000"
"1438","Cercopithecine_herpesvirus_17","Macaca_mulatta","captive","isolation",2,"Desrosiers et al. 1997"
"1439","Cercopithecine_herpesvirus_8","Macaca_mulatta","captive","isolation",2,"Asher et al. 1974"
"1440","Encephalomyocarditis_virus","Macaca_mulatta","wild","Isolation",2,"Tesh & Wallace 1978"
"1441","Mason-Pfizer_monkey_virus","Macaca_mulatta","captive","Isolation",2,"Nowinski et al. 1971"
"1442","Measles_virus","Macaca_mulatta","wild","Isolation",2,"El Mubarak et al. 2007"
"1443","Minatitlan_virus","Macaca_mulatta","wild","Isolation",2,"Subcomittee on Information Exchange of The American Committee of Arthropod-Borne Viruses 1972"
"1444","Parainfluenza_virus_5","Macaca_mulatta","wild","Isolation",2,"Chatziandreou et al. 2004"
"1445","Rhesus_macaque_parvovirus","Macaca_mulatta","captive","PCR",2,"Green et al. 2000"
"1446","Rhesus_monkey_papillomavirus_1","Macaca_mulatta","captive","Isolation",2,"Ostrow et al. 1995"
"1447","Simian_adenovirus","Macaca_mulatta","wild","Isolation",2,"Kovacs et al. 2004"
"1448","Simian_enterovirus_A","Macaca_mulatta","wild","Isolation",2,"Suzuki et al. 1984"
"1449","Simian_foamy_virus","Macaca_mulatta","wild","PCR",2,"Schweizer et al. 1995"
"1450","Simian_hemorrhagic_fever_virus","Macaca_mulatta","captive","Isolation",2,"London 1977"
"1451","Simian_immunodeficiency_virus","Macaca_mulatta","wild","Isolation",2,"Hirsch et al. 1989"
"1452","Simian_virus_40","Macaca_mulatta","wild","PCR",2,"Simon et al. 1999"
"1453","Simian_virus_5","Macaca_mulatta","wild","Antibodies",0,"Verschoor et al. 2008"
"1454","Tanapox_virus","Macaca_mulatta","captive","Antibodies",0,"Downie 1974"
"1455","Yaba_monkey_tumor_virus","Macaca_mulatta","wild","Isolation",2,"Zimmerman et al. 2005"
"1456","Cercopithecine_herpesvirus_1","Macaca_nemestrina","wild","Isolation",2,"Huff and Barry 2003"
"1457","Cercopithecine_herpesvirus_9","Macaca_nemestrina","captive","Isolation",2,"Hukkanen et al. 2009"
"1458","Pig-tailed_macaque_parvovirus","Macaca_nemestrina","captive","PCR",2,"Green et al. 2000"
"1459","Primate_T-lymphotropic_virus_1","Macaca_nigra","wild","Antibodies",0,"Ishikawa et al. 1987"
"1460","Primate_T-lymphotropic_virus_1","Macaca_ochreata","wild","Antibodies",0,"Ishikawa et al. 1987"
"1461","Cercopithecine_herpesvirus_1","Macaca_radiata","wild","Isolation",2,"Huff and Barry 2003"
"1462","Kyasanur_Forest_disease_virus","Macaca_radiata","wild","Isolation",2,"Sreenivasan et al. 1986"
"1463","Measles_virus","Macaca_radiata","wild","Antibodies",0,"Bhatt et al. 1966"
"1464","Simian_virus_5","Macaca_radiata","wild","Antibodies",0,"Bhatt et al. 1966"
"1465","Yaba_monkey_tumor_virus","Macaca_radiata","wild","Antibodies",0,"Downie 1974"
"1466","Simian_foamy_virus","Macaca_silenus","wild","PCR",2,"Hussain et al. 2003"
"1467","Bunyamwera_virus","Macaca_sinica","wild","Antibodies",0,"Peiris et al. 1993"
"1468","Dengue_virus","Macaca_sinica","wild","Antibodies",0,"Peiris et al. 1993"
"1469","West_Nile_virus","Macaca_sinica","wild","Antibodies",0,"Peiris et al. 1993"
"1470","Encephalomyocarditis_virus","Macaca_sylvanus","wild","Antibodies",0,"Canelli et al. 2010"
"1471","Simian_foamy_virus","Macaca_sylvanus","wild","PCR",2,"Hussain et al. 2003"
"1472","Simian_virus_40","Macaca_sylvanus","wild","Antibodies",0,"Verschoor et al. 2008"
"1473","Primate_T-lymphotropic_virus_1","Macaca_tonkeana","wild","Antibodies",0,"Ishikawa et al. 1987"
"1474","Carey_Island_virus","Macroglossus_minimus","wild","Isolation",2,"Calisher et al. 2006"
"1475","Eubenangee_virus","Macropus_agilis","wild","Isolation",2,"Staker 2006"
"1476","Murray_Valley_encephalitis_virus","Macropus_agilis","wild","Antibodies",0,"Gonzalez et al. 2007"
"1477","Ross_River_virus","Macropus_agilis","wild","Isolation",2,"Brooks et al. 2002"
"1478","Sindbis_virus","Macropus_agilis","wild","Antibodies",0,"Tu et al. 2004"
"1479","Trubanaman_virus","Macropus_fuliginosus","wild","Antibodies",0,"Johansen et al. 2005"
"1480","Wallal_virus","Macropus_fuliginosus","wild","PCR",2,"Hooper et al. 1999"
"1481","Warrego_virus","Macropus_fuliginosus","wild","Isolation",2,"Hooper et al. 1999"
"1482","Foot-and-mouth_disease_virus","Macropus_giganteus","wild","Isolation",2,"Weaver et al. 2013"
"1483","Gan_Gan_virus","Macropus_giganteus","wild","Antibodies",0,"Vale et al. 1991"
"1484","Macropodid_herpesvirus_1","Macropus_giganteus","wild","Isolation",2,"Guliani et al. 1999"
"1485","Macropodid_herpesvirus_2","Macropus_giganteus","wild","Isolation",2,"Vaz et al. 2013"
"1486","Murray_Valley_encephalitis_virus","Macropus_giganteus","wild","Antibodies",0,"Levy 1993"
"1487","Sindbis_virus","Macropus_giganteus","wild","Antibodies",0,"Gonzalez et al. 2007"
"1488","Wallal_virus","Macropus_giganteus","wild","PCR",2,"Hooper et al. 1999"
"1489","Warrego_virus","Macropus_giganteus","wild","Isolation",2,"Hooper et al. 1999"
"1490","Macropodid_herpesvirus_1","Macropus_parma","wild","Isolation",2,"Johnson et al. 1985"
"1491","Ross_River_virus","Macropus_robustus","wild","Antibodies",0,"Old et al. 2005"
"1492","Wallal_virus","Macropus_robustus","wild","PCR",2,"Hooper et al. 1999"
"1493","Gan_Gan_virus","Macropus_rufogriseus","wild","Antibodies",0,"Vale et al. 1991"
"1494","Wallal_virus","Macropus_rufus","wild","PCR",2,"Hooper et al. 1999"
"1495","Warrego_virus","Macropus_rufus","wild","Isolation",2,"Hooper et al. 1999"
"1496","Rabies_virus","Macrotus_californicus","wild","Isolation",2,"Constantine 1979"
"1497","Kyasanur_Forest_disease_virus","Madromys_blanfordi","wild","Isolation",2,"Williams et al. 2001"
"1498","Human_enterovirus_D","Mandrillus_leucophaeus","wild*","Antibodies",0,"Harvala et al. 2012"
"1499","Simian_foamy_virus","Mandrillus_leucophaeus","wild","PCR",2,"Hussain et al. 2003"
"1500","Simian_immunodeficiency_virus","Mandrillus_leucophaeus","wild","Isolation",2,"Hu et al. 2003"
"1501","Human_enterovirus_B","Mandrillus_sphinx","wild","PCR",2,"Van Nguyen et al. 2014"
"1502","Simian_foamy_virus","Mandrillus_sphinx","wild","PCR",2,"Hussain et al. 2003"
"1503","Simian_immunodeficiency_virus","Mandrillus_sphinx","wild","Isolation",2,"Hu et al. 2003"
"1504","O'nyong-nyong_virus","Mandrillus_sphinx","wild","plaque reduction neutralization",1,"Kading et al. 2013"
"1505","Oriboca_virus","Marmosa_murina","wild","Isolation",2,"Shope et al. 1988"
"1506","Colorado_tick_fever_virus","Marmota_flaviventris","wild","Antibodies",0,"Eklund et al. 1958"
"1507","Powassan_virus","Marmota_flaviventris","wild","Antibodies",0,"McLean et al. 1970"
"1508","St._Louis_encephalitis_virus","Marmota_flaviventris","wild","Antibodies",0,"McLean et al. 1968"
"1509","Eastern_equine_encephalitis_virus","Marmota_monax","wild","Antibodies",0,"Karstad et al. 1960"
"1510","Marmodid_herpesvirus_1","Marmota_monax","wild","Isolation",2,"Buchen-Osmond 2003"
"1511","Powassan_virus","Marmota_monax","wild","Isolation",2," McLean et al. 1967"
"1512","Rabies_virus","Marmota_monax","wild","Isolation",2,"Wang et al. 2009"
"1513","Woodchuck_hepatitis_virus","Marmota_monax","wild","EM, DNA (i.e. more than just PCR)",2,"Summers et al. 1978"
"1514","European_bat_lyssavirus_1","Martes_foina","wild","Antibodies",0,"Muller et al. 2004"
"1515","Canine_adenovirus","Martes_pennanti","wild","Antibodies",0,"Philippa et al. 2004"
"1516","Mustelid_herpesvirus_1","Martes_pennanti","captive","PCR",2,"Gagnon et al. 2011"
"1517","Rabies_virus","Martes_pennanti","wild","Antibodies",0,"Philippa et al. 2004"
"1518","Crimean-Congo_hemorrhagic_fever_virus","Mastomys_coucha","wild","Antibodies",0,"Shepherd et al. 1987"
"1519","Koutango_virus","Mastomys_erythroleucus","wild","Isolation",2,"Traore-Lamizana et al. 2001"
"1520","Lassa_virus","Mastomys_erythroleucus","wild","Isolation",2,"Gonzalez et al. 2007"
"1521","Mobala_virus","Mastomys_erythroleucus","wild","Isolation",2,"Gonzalez et al. 2007"
"1522","Qalyub_virus","Mastomys_erythroleucus","wild","Isolation",2,"Rodhain et al. 1985"
"1523","Rift_Valley_fever_virus","Mastomys_erythroleucus","wild","Antibodies",0,"Gora et al. 2000"
"1524","Lassa_virus","Mastomys_huberti","wild","Isolation",2,"Gonzalez et al. 2007"
"1525","Mopeia_virus","Mastomys_huberti","wild","Isolation",2,"Gonzalez et al. 2007"
"1526","Rift_Valley_fever_virus","Mastomys_huberti","wild","Antibodies",0,"Gora et al. 2000"
"1527","Banzi_virus","Mastomys_natalensis","wild","Isolation",2,"McIntosh et al. 1976"
"1528","Bluetongue_virus","Mastomys_natalensis","wild","Isolation",2,"Howerth et al. 2001"
"1529","Chikungunya_virus","Mastomys_natalensis","wild","Antibodies",0,"Konstantinov et al. 2006"
"1530","Dugbe_virus","Mastomys_natalensis","wild","Antibodies",0,"Konstantinov et al. 2006"
"1531","Lassa_virus","Mastomys_natalensis","wild","PCR",2,"Fichet-Calvet et al. 2007"
"1532","Mastomys_natalensis_papillomavirus","Mastomys_natalensis","captive","Isolation",2,"Muller & Gissman 1978"
"1533","Mopeia_virus","Mastomys_natalensis","wild","Isolation",2,"Wulff et al. 1977"
"1534","Qalyub_virus","Mastomys_natalensis","wild","Isolation",2,"Kemp 1975"
"1535","Uganda_S_virus","Mastomys_natalensis","wild","Isolation",2,"Kemp 1975; Kemp et al. 1974"
"1536","Witwatersrand_virus","Mastomys_natalensis","wild","Antibodies",0,"McIntosh et al. 1976"
"1537","Bovine_respiratory_syncytial_virus","Mazama_gouazoubira","wild","Antibodies",0,"Deem et al. 2004"
"1538","Influenza_A_virus","Megaderma_lyra","wild","Antibodies",0,"Kelkar et al. 1981"
"1539","Amapari_virus","Megadontomys_nelsoni","wild","Antibodies",0,"Milazzo et al. 2010"
"1540","Whitewater_Arroyo_virus","Megadontomys_nelsoni","wild","Antibodies",0,"Milazzo et al. 2010"
"1541","Venezuelan_equine_encephalitis_virus","Melanomys_caliginosus","wild","Antibodies",0,"Acha & Szyfres 2003; Grayson & Galindo 1968"
"1542","Mustelid_herpesvirus_1","Meles_meles","wild","PCR",2,"King et al. 2004"
"1543","Rabies_virus","Mellivora_capensis","wild","Isolation",2,"Bingham et al. 2001"
"1544","Severe_acute_respiratory_syndrome-related_coronavirus","Melogale_moschata","wild","Antibodies",0,"Tu et al. 2004"
"1545","Influenza_A_virus","Mephitis_mephitis","wild","PCR",2,"Britton et al. 2010"
"1546","Rabies_virus","Mephitis_mephitis","wild","PCR",2,"Nadin-Davis et al. 1993"
"1547","St._Louis_encephalitis_virus","Mephitis_mephitis","wild","Antibodies",0,"Artsob et al. 1986"
"1548","Vesicular_stomatitis_Indiana_virus","Mephitis_mephitis","wild","plaque reduction neutralization",1,"Aguirre et al. 1992"
"1549","Western_equine_encephalitis_virus","Mephitis_mephitis","wild","hemmaglutination",0,"Hardy 1987"
"1550","Bakau_virus","Meriones_hurrianae","wild","Antibodies",0,"Darwish et al. 1983"
"1551","Crimean-Congo_hemorrhagic_fever_virus","Meriones_hurrianae","domestic","Antibodies",0,"Darwish et al. 1983"
"1552","Dera_Ghazi_Khan_virus","Meriones_hurrianae","domestic","Antibodies",0,"Darwish et al. 1983"
"1553","Dhori_virus","Meriones_hurrianae","wild","Antibodies",0,"Darwish et al. 1983"
"1554","Salehabad_virus","Meriones_hurrianae","wild","Antibodies",0,"Darwish et al. 1983"
"1555","Wad_Medani_virus","Meriones_hurrianae","wild","Antibodies",0,"Darwish et al. 1983"
"1556","Cowpox_virus","Meriones_libycus","wild","Isolation",2,"Tsanava et al. 1989"
"1557","Cricetid_herpesvirus","Mesocricetus_auratus","wild","Isolation",2,"Tomita & Jonas 1968 in Mahy 2008"
"1558","Hamster_oral_papillomavirus","Mesocricetus_auratus","captive","PCR",2,"Iwasaki et al. 1997"
"1559","Hamster_parvovirus","Mesocricetus_auratus","wild","Isolation",2,"Besselsen et al. 1999"
"1560","Hamster_polyomavirus","Mesocricetus_auratus","domestic","PCR",2,"Simmons et al. 2001"
"1561","Lymphocytic_choriomeningitis_virus","Mesocricetus_auratus","captive","Isolation",2,"Acha & Szyfres 2003; Parker et al. 1976"
"1562","Minatitlan_virus","Mesocricetus_auratus","domestic","Isolation",2,"Mahy 2009"
"1563","Mobala_virus","Mesocricetus_auratus","wild","Isolation",2,"Gonzalez et al. 2007"
"1564","Sendai_virus","Mesocricetus_auratus","captive","Isolation",2,"Profeta et al. 1969"
"1565","Oriboca_virus","Metachirus_nudicaudatus","wild","Isolation",2,"Shope et al. 1988"
"1566","Vesicular_stomatitis_Indiana_virus","Metachirus_nudicaudatus","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"1567","Mayaro_virus","Callithrix_leucippe","wild","Antibodies",0,"Hoch et al. 1981"
"1568","Yellow_fever_virus","Callithrix_leucippe","wild","Antibodies",0,"Hoch et al. 1981"
"1569","Lymphocytic_choriomeningitis_virus","Micromys_minutus","wild","Antibodies",0,"Tagliapietra et al. 2009"
"1570","Rabies_virus","Micronycteris_megalotis","wild","Antibodies",0,"Salas-Rojas et al. 2004"
"1571","Lagos_bat_virus","Micropteropus_pusillus","wild","Isolation",2,"Calisher et al. 2006"
"1572","Rift_Valley_fever_virus","Micropteropus_pusillus","wild","Isolation",2,"Calisher et al. 2006"
"1573","Zaire_ebolavirus","Micropteropus_pusillus","wild","PCR",2,"Leroy et al. 2004"
"1574","Cowpox_virus","Microtus_agrestis","wild","PCR",2,"Acha & Szyfres 2003; Tryland et al. 1998"
"1575","Ectromelia_virus","Microtus_agrestis","wild","Antibodies",0,"Kaplan et al. 1980"
"1576","Encephalomyocarditis_virus","Microtus_agrestis","wild","Antibodies",0,"Kaplan et al. 1980"
"1577","Ljungan_virus","Microtus_agrestis","wild","PCR",2,"Salisbury AM et al. 2014"
"1578","Lymphocytic_choriomeningitis_virus","Microtus_agrestis","wild","Antibodies",0,"Kaplan et al. 1980"
"1579","Murid_herpesvirus_4","Microtus_agrestis","wild","PCR",2,"Ehlers et al. 2007"
"1580","Murine_pneumonia_virus","Microtus_agrestis","wild","Antibodies",0,"Kaplan et al. 1980"
"1581","Sendai_virus","Microtus_agrestis","wild","Antibodies",0,"Kaplan et al. 1980"
"1582","Tick-borne_encephalitis_virus","Microtus_agrestis","wild","PCR",2,"Achazi et al. 2011"
"1583","Tula_virus","Microtus_agrestis","wild","PCR",2,"Schmidt-Chanasit et al. 2010"
"1584","California_encephalitis_virus","Microtus_arvalis","wild","Antibodies",0,"Mitchell et al. 1993"
"1585","Encephalomyocarditis_virus","Microtus_arvalis","wild","Antibodies",0,"Billinis 2009"
"1586","Lymphocytic_choriomeningitis_virus","Microtus_arvalis","wild","Antibodies",0,"Tagliapietra et al. 2009"
"1587","Murid_herpesvirus_1","Microtus_arvalis","wild","Antibodies",0,"Mistrikova & Blaskovis 1985"
"1588","Tick-borne_encephalitis_virus","Microtus_arvalis","wild","PCR",2,"Kozuch et al. 1990; Achazi et al. 2011"
"1589","Tula_virus","Microtus_arvalis","wild","PCR",2,"Schlegel et al. 2012"
"1590","Colorado_tick_fever_virus","Microtus_californicus","wild","Antibodies",0,"Emmons 1994"
"1591","Isla_Vista_virus","Microtus_californicus","wild","PCR",2,"Song et al. 1995"
"1592","Prospect_Hill_virus","Microtus_californicus","wild","Antibodies",0,"Yanagihara et al. 1987"
"1593","Sin_Nombre_virus","Microtus_californicus","wild","Antibodies",0,"Bennett et al. 1999"
"1594","St._Louis_encephalitis_virus","Microtus_californicus","wild","Antibodies",0,"Hardy et al. 1974"
"1595","Volepox_virus","Microtus_californicus","wild","Isolation",2,"Regnery 1987"
"1596","Khabarovsk_virus","Microtus_fortis","wild","Isolation",2,"Horling et al. 1996"
"1597","Seoul_virus","Microtus_fortis","wild","PCR",2,"Weng et al. 2008"
"1598","California_encephalitis_virus","Microtus_gregalis","wild","Antibodies",0,"Mitchell et al. 1993"
"1599","Omsk_hemorrhagic_fever_virus","Microtus_gregalis","wild","Isolation",2,"Shope 2003"
"1600","Lymphocytic_choriomeningitis_virus","Microtus_levis","wild","Antibodies",0,"Tagliapietra et al. 2009"
"1601","Tula_virus","Microtus_levis","wild","PCR",2,"Schlegel et al. 2012"
"1602","Khabarovsk_virus","Microtus_maximowiczii","wild","PCR",2,"Cong et al. 2012"
"1603","Sin_Nombre_virus","Microtus_ochrogaster","wild","Antibodies",0,"Torres-Perez 2010"
"1604","Borna_disease_virus","Microtus_oeconomus","wild","Antibodies",0,"Kinnunen et al. 2007"
"1605","California_encephalitis_virus","Microtus_oeconomus","wild","Antibodies",0,"Mitchell et al. 1993"
"1606","Cowpox_virus","Microtus_oeconomus","wild","Isolation",2,"Lvov et al. 1988"
"1607","Khabarovsk_virus","Microtus_oeconomus","wild","PCR",2,"Plyusnina et a; 2008"
"1608","Omsk_hemorrhagic_fever_virus","Microtus_oeconomus","wild","Isolation",2,"Acha & Szyfres 2003"
"1609","Eastern_equine_encephalitis_virus","Microtus_pennsylvanicus","wild","Antibodies",0,"Karabatsos 1985 in Day et al. 1996"
"1610","Mammalian_orthoreovirus","Microtus_pennsylvanicus","wild","Antibodies",0,"Descoteaux 1992"
"1611","Murid_herpesvirus_5","Microtus_pennsylvanicus","wild","Isolation",2,"Melendez et al. 1967"
"1612","Prospect_Hill_virus","Microtus_pennsylvanicus","wild","Isolation",2,"Lee et al. 1985"
"1613","Sin_Nombre_virus","Microtus_pennsylvanicus","wild","Antibodies",0,"Torres-Perez 2010"
"1614","Theilovirus","Microtus_pennsylvanicus","wild","Antibodies",0,"Descoteauz & Mihok 1986"
"1615","Tula_virus","Microtus_subterraneus","wild","PCR",2,"Korva et al. 2009"
"1616","Dera_Ghazi_Khan_virus","Millardia_meltada","wild","Antibodies",0,"Darwish et al. 1983"
"1617","Tamana_bat_virus","Mimon_crenulatum","wild","Antibodies",0,"Price 1978"
"1618","Japanese_encephalitis_virus","Miniopterus_schreibersii","wild","Antibodies",0,"Cui et al. 2008"
"1619","Yokose_virus","Miniopterus_schreibersii","wild","Antibodies",0,"Tajima 2005"
"1620","Lake_Victoria_marburgvirus","Miniopterus_inflatus","wild","PCR",2,"Swanepoel et al. 2007"
"1621","Australian_bat_lyssavirus","Miniopterus_schreibersii","wild","Antibodies",0,"Arguin et al. 2002"
"1622","Duvenhage_virus","Miniopterus_schreibersii","wild","Isolation",2,"Calisher et al. 2006"
"1623","European_bat_lyssavirus_1","Miniopterus_schreibersii","wild","PCR",2,"Serra-Cobo et al. 2002"
"1624","European_bat_lyssavirus_2","Miniopterus_schreibersii","wild","Isolation",2,"Calisher et al. 2006"
"1625","Japanese_encephalitis_virus","Miniopterus_schreibersii","wild","Isolation",2,"Taylor et al. 2001; Calisher et al. 2006"
"1626","Kyasanur_Forest_disease_virus","Miniopterus_schreibersii","wild","Antibodies",0,"Bhat et al. 1978"
"1627","Rift_Valley_fever_virus","Miniopterus_schreibersii","wild","Isolation",2,"Konstantinov et al. 2006"
"1628","West_Caucasian_bat_virus","Miniopterus_schreibersii","wild","Isolation",2,"Calisher et al. 2006"
"1629","Yokose_virus","Miniopterus_schreibersii","wild","Isolation",2,"Calishers et al. 2006; Gonzalez et al. 2008; Tajima et al. 2005; Wong et al. 2007"
"1630","Simian_immunodeficiency_virus","Miopithecus_talapoin","wild","Isolation",2,"Peeters et al. 2002"
"1631","Southern_elephant_seal_virus","Mirounga_leonina","wild","Antibodies",0,"La Linn et al. 2001"
"1632","Rabies_virus","Molossops_neglectus","wild","Antibodies",0,"de Rosa et al. 2011"
"1633","Catu_virus","Molossus_molossus","wild","Isolation",2,"Calisher et al. 2006"
"1634","Dengue_virus","Molossus_molossus","wild","Antibodies",0,"Price 1978"
"1635","Ilheus_virus","Molossus_molossus","wild","Antibodies",0,"Price et al. 1978"
"1636","Rabies_virus","Molossus_molossus","wild","Isolation",2,"Kobayashi et al. 2007; Paez et al. 2003"
"1637","Rio_Bravo_virus","Molossus_molossus","wild","Antibodies",0,"Price 1978"
"1638","St._Louis_encephalitis_virus","Molossus_molossus","wild","Antibodies",0,"Price 1978"
"1639","Yellow_fever_virus","Molossus_molossus","wild","Antibodies",0,"Price 1978"
"1640","Dengue_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1641","Ilheus_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1642","Manzanilla_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1643","Mucambo_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1644","Rabies_virus","Molossus_rufus","wild","Isolation",2,"Kobayashi et al. 2005"
"1645","Rio_Bravo_virus","Molossus_rufus","wild","Isolation",2,"Price 1978"
"1646","St._Louis_encephalitis_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1647","Tamana_bat_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1648","Yellow_fever_virus","Molossus_rufus","wild","Antibodies",0,"Price 1978"
"1649","Rabies_virus","Mormoops_megalophylla","wild","antigen",0,"Constantine 1979"
"1650","Rio_Bravo_virus","Mormoops_megalophylla","wild","Antibodies",0,"Price 1978"
"1651","Tamana_bat_virus","Mormoops_megalophylla","wild","Antibodies",0,"Price 1978"
"1652","Thogoto_virus","Mungos_mungo","wild","Isolation",2,"Ogen-Odoi et al. 1999"
"1653","Foot-and-mouth_disease_virus","Muntiacus_muntjak","wild","Antibodies",0,"Barman et al. 1999 in Weaver and Karesh 2013"
"1654","Japanese_encephalitis_virus","Murina_aurata","wild","Isolation",2,"Wang et al. 2009"
"1655","Irkut_virus","Murina_leucogaster","wild","Isolation",2,"Calisher et al. 2006"
"1656","Japanese_encephalitis_virus","Murina_leucogaster","wild","Antibodies",0,"Miura et al. 1970"
"1657","Encephalomyocarditis_virus","Mus_booduga","wild","Isolation",2,"Tesh and Wallace 1978"
"1658","Kyasanur_Forest_disease_virus","Mus_booduga","wild","Antibodies",0,"Webb et al. 1965"
"1659","Murid_herpesvirus_1","Mus_cervicolor","wild","PCR",2,"Ehlers et al. 2007"
"1660","Murine_leukemia_virus","Mus_cervicolor","wild","Isolation",2,"Prassolov et al. 2001"
"1661","Anopheles_B_virus","Mus_musculus","domestic","Isolation",2,"da Rosa et al. 1992"
"1662","Cowpox_virus","Mus_musculus","wild","Antibodies",0,"Crouch et al. 1995"
"1663","Eastern_equine_encephalitis_virus","Mus_musculus","wild","Isolation",2,"Goldfield et al. 1968"
"1664","Ectromelia_virus","Mus_musculus","captive","Isolation",2,"Esteban et al. 2005"
"1665","Encephalomyocarditis_virus","Mus_musculus","domestic","Isolation",2,"Jungeblut et al. 1943"
"1666","Hepatitis_E_virus","Mus_musculus","domestic","Antibodies",0,"Favorov et al. 2000"
"1667","Junin_virus","Mus_musculus","domestic","Isolation",2,"Evans 2013"
"1668","Lactate_dehydrogenase-elevating_virus","Mus_musculus","wild","Isolation",2,"Committee on the Infectious Diseases of Mice and Rats 1991"
"1669","Ljungan_virus","Mus_musculus","wild","PCR",2,"Salisbury et al. 2014"
"1670","Lymphocytic_choriomeningitis_virus","Mus_musculus","domestic","Isolation",2,"Gonzalez et al. 2007"
"1671","Machupo_virus","Mus_musculus","wild","Isolation",2,"Gonzalez et al. 2007"
"1672","Minute_virus_of_mice","Mus_musculus","wild","Isolation",2,"Committee on the Infectious Diseases of Mice and Rats 1991; Crawford 1966"
"1673","Moloney_murine_sarcoma_virus","Mus_musculus","captive","Isolation",2,"Moloney et al. 1966"
"1674","Mouse_mammary_tumor_virus","Mus_musculus","domestic","Isolation",2,"Lyons & Moore 1965"
"1675","Mouse_parvovirus_1","Mus_musculus","captive","PCR",2,"Macy et al. 2009"
"1676","Mucambo_virus","Mus_musculus","domestic","Isolation",2,"Attoui et al. 2007"
"1677","Murid_herpesvirus_1","Mus_musculus","captive","Isolation",2,"Henson et al. 1972"
"1678","Murid_herpesvirus_3","Mus_musculus","wild","Isolation",2,"Roizmn & Baines 1991"
"1679","Murine_adenovirus_A","Mus_musculus","wild","Isolation",2,"Hartley & Rowe 1960"
